0,1,2,3,4,5,6,7
J,Curry,12,3,7,0,3,13
P,Stockton,12,6,0,0,0,6
P,Orvis,10,2,0,0,2,4
T,Page,10,2,0,0,1,3
P,Stimpson,13,2,1,0,0,3
J,Williams,7,1,0,2,0,3
J,Barclay,4,2,0,0,0,2
T,Connor,5,2,0,0,0,2
J,Neal,10,2,0,0,0,2
N,Grover,1,1,0,0,0,1
A,Dean,4,1,0,0,0,1
A,Underhay,4,0,0,0,1,1
D,Underhay,5,1,0,0,0,1
M,Haslop,10,1,0,0,0,1
J,Haque,10,1,0,0,0,1
B,Driver,13,1,0,0,0,1
