0,1,2,3,4,5,6,7,8,9,10,11,12,13,
C,Owen,1,5,2,1,7,,,1--7,,1.40,30.00,7.00,
J,Haque,9,68,25,17,210,12,1,5--18,1,3.09,24.00,12.35,
A,Dean,4,25.2,5,6,90,2,,3--27,,3.55,25.33,15.00,
D,Underhay,7,19.4,1,5,105,2,,2--16,,5.34,23.60,21.00,
B,Driver,11,68.3,5,17,378,2,,4--39,,5.52,24.18,22.24,
T,Page,6,37,3,9,203,6,5,3--7,,5.49,24.67,22.56,
P,Orvis,7,48,8,8,211,4,,3--25,,4.40,36.00,26.38,
J,Barclay,5,30,4,5,142,14,,2--43,,4.73,36.00,28.40,
M,Haslop,8,34,0,9,263,14,,4--43,,7.74,22.67,29.22,
J,Curry,9,10,0,2,67,5,1,1--10,,6.70,30.00,33.50,
J,Marshall-Grint,6,30.5,2,5,191,3,3,3--7,,6.19,37.00,38.20,
J,Sorensen,2,11,0,1,71,7,1,1--15,,6.45,66.00,71.00,
J,Orvis,2,8,2,0,39,6,,0--39,,4.88,-----,-----,
S,Underhay,1,4,0,0,52,4,1,0--52,,13.00,-----,-----,
