0,1,2,3,4,5,6,7
J,Curry,10,2,6,0,2,10
J,Marshall-Grint,6,7,0,0,0,7
J,Haque,10,5,0,0,1,6
J,Williams,10,0,4,1,0,5
P,Stimpson,8,2,0,0,0,2
T,Page,6,2,0,0,0,2
A,Dean,4,2,0,0,0,2
J,Orvis,2,1,1,0,0,2
P,Orvis,8,1,0,0,0,1
D,Underhay,8,1,0,0,0,1
