0,1,2,3,4,5,6,7
J,Curry,3,0,3,1,0,4
J,Williams,3,2,0,0,0,2
P,Stimpson,3,1,0,0,1,2
A,Dean,2,1,0,0,0,1
B,Driver,2,1,0,0,0,1
J,Barclay,2,0,0,0,1,1
S,Wilson,2,1,0,0,0,1
P,Orvis,3,1,0,0,0,1
N,Dean,1,0,0,1,0,1
T,Page,4,0,0,0,1,1
