Rank,Player,WICKET KEEPING CATCHES,FIELDING CATCHES,TOTAL CATCHES
1,Jacob Curry,9,0,9
2,Jacob Marshall-Grint,1,5,6
3,Henry Ormrod,0,6,6
4,Phillip Orvis,0,5,5
5,Tom Linford-Wood,0,4,4
6,Vipul Bisht,0,3,3
7,Jeemon Vazhappilly,0,3,3
8,Paul Stimpson,0,2,2
9,Seth Coode,0,1,1
10,Adam Dean,0,1,1
11,Barry Driver,0,1,1
12,Martin Haslop,1,0,1
14,James Neal,0,1,1
15,Sujith Kidangoor,0,1,1
