0,1,2,3,4,5,6,7,8,9,10,11
A,Curry,3,3,2,38,25*,,,,5,38
S,Underhay,3,3,2,36,24*,,,,3,36
P,Howard,1,1,0,32,32,,,,,32
J,Curry,3,3,0,47,18,,,,4,15.67
D,Carminati,2,2,0,21,14,,,,2,10.5
J,Barclay,2,2,0,19,18,,,,3,9.5
J,Jeeva Tescos,1,1,0,8,8,,,,1,8
P,Stockton,3,3,0,20,12,,,,,6.67
T,Page,3,3,1,13,8*,,,,1,6.5
J,Colding,4,4,0,12,9,,,,2,3
L,Barber,2,1,0,0,0,,,,,0
S,Clare,1,1,0,0,0,,,,,0
M,Haslop,1,1,1,20,20*,,,,1,----
P,Orvis,1,1,1,12,12*,,,,1,----
